name,id,dv,type,path,img
虚弱之箭,minecraft:arrow,35,装备,todo,todo1
虚弱之箭,minecraft:arrow,36,装备,todo,todo1
衰变之箭,minecraft:arrow,37,装备,todo,todo1
神龟之箭,minecraft:arrow,38,装备,todo,todo1
神龟之箭,minecraft:arrow,39,装备,todo,todo1
神龟之箭,minecraft:arrow,40,装备,todo,todo1
缓降之箭,minecraft:arrow,41,装备,todo,todo1
缓降之箭,minecraft:arrow,42,装备,todo,todo1
缓慢之箭,minecraft:arrow,43,装备,todo,todo1
护盾,minecraft:shield,0,装备,todo,todo1
熟鸡肉,minecraft:cooked_chicken,0,装备,todo,todo1
熟猪排,minecraft:cooked_porkchop,0,装备,todo,todo1
牛排,minecraft:cooked_beef,0,装备,todo,todo1
熟羊肉,minecraft:cooked_mutton,0,装备,todo,todo1
熟兔肉,minecraft:cooked_rabbit,0,装备,todo,todo1
熟鳕鱼,minecraft:cooked_cod,0,装备,todo,todo1
熟鲑鱼,minecraft:cooked_salmon,0,装备,todo,todo1
面包,minecraft:bread,0,装备,todo,todo1
蘑菇煲,minecraft:mushroom_stew,0,装备,todo,todo1
甜菜汤,minecraft:beetroot_soup,0,装备,todo,todo1
兔肉煲,minecraft:rabbit_stew,0,装备,todo,todo1
烤马铃薯,minecraft:baked_potato,0,装备,todo,todo1
曲奇,minecraft:cookie,0,装备,todo,todo1
南瓜派,minecraft:pumpkin_pie,0,装备,todo,todo1
蛋糕,minecraft:cake,0,装备,todo,todo1
干海带,minecraft:dried_kelp,0,装备,todo,todo1
钓鱼竿,minecraft:fishing_rod,0,装备,todo,todo1
胡萝卜钓竿,minecraft:carrot_on_a_stick,0,装备,todo,todo1
诡异真菌钓竿,minecraft:warped_fungus_on_a_stick,0,装备,todo,todo1
雪球,minecraft:snowball,0,装备,todo,todo1
剪刀,minecraft:shears,0,装备,todo,todo1
打火石,minecraft:flint_and_steel,0,装备,todo,todo1
拴绳,minecraft:lead,0,装备,todo,todo1
钟,minecraft:clock,0,装备,todo,todo1
指南针,minecraft:compass,0,装备,todo,todo1
追溯指针,minecraft:recovery_compass,0,装备,todo,todo1
山羊角,minecraft:goat_horn,0,装备,todo,todo1
山羊角,minecraft:goat_horn,1,装备,todo,todo1
山羊角,minecraft:goat_horn,2,装备,todo,todo1
山羊角,minecraft:goat_horn,3,装备,todo,todo1
山羊角,minecraft:goat_horn,4,装备,todo,todo1
山羊角,minecraft:goat_horn,5,装备,todo,todo1
山羊角,minecraft:goat_horn,6,装备,todo,todo1
山羊角,minecraft:goat_horn,7,装备,todo,todo1
空白地图,minecraft:empty_map,0,装备,todo,todo1
空的定位器地图,minecraft:empty_map,2,装备,todo,todo1
鞍,minecraft:saddle,0,装备,todo,todo1
皮革马铠,minecraft:leather_horse_armor,0,装备,todo,todo1
铁马铠,minecraft:iron_horse_armor,0,装备,todo,todo1
黄金马铠,minecraft:golden_horse_armor,0,装备,todo,todo1
钻石马铠,minecraft:diamond_horse_armor,0,装备,todo,todo1
三叉戟,minecraft:trident,0,装备,todo,todo1
海龟壳,minecraft:turtle_helmet,0,装备,todo,todo1
鞘翅,minecraft:elytra,0,装备,todo,todo1
不死图腾,minecraft:totem_of_undying,0,装备,todo,todo1
玻璃瓶,minecraft:glass_bottle,0,装备,todo,todo1
附魔之瓶,minecraft:experience_bottle,0,装备,todo,todo1
水瓶,minecraft:potion,0,装备,todo,todo1
平凡药水,minecraft:potion,1,装备,todo,todo1
长久平凡药水,minecraft:potion,2,装备,todo,todo1
浓稠药水,minecraft:potion,3,装备,todo,todo1
粗制药水,minecraft:potion,4,装备,todo,todo1
夜视药水,minecraft:potion,5,装备,todo,todo1
夜视药水,minecraft:potion,6,装备,todo,todo1
隐身药水,minecraft:potion,7,装备,todo,todo1
隐身药水,minecraft:potion,8,装备,todo,todo1
跳跃药水,minecraft:potion,9,装备,todo,todo1
跳跃药水,minecraft:potion,10,装备,todo,todo1
跳跃药水,minecraft:potion,11,装备,todo,todo1
抗火药水,minecraft:potion,12,装备,todo,todo1
抗火药水,minecraft:potion,13,装备,todo,todo1
迅捷药水,minecraft:potion,14,装备,todo,todo1
迅捷药水,minecraft:potion,15,装备,todo,todo1
迅捷药水,minecraft:potion,16,装备,todo,todo1
缓慢药水,minecraft:potion,17,装备,todo,todo1
缓慢药水,minecraft:potion,18,装备,todo,todo1
水肺药水,minecraft:potion,19,装备,todo,todo1
水肺药水,minecraft:potion,20,装备,todo,todo1
治疗药水,minecraft:potion,21,装备,todo,todo1
治疗药水,minecraft:potion,22,装备,todo,todo1
伤害药水,minecraft:potion,23,装备,todo,todo1
伤害药水,minecraft:potion,24,装备,todo,todo1
剧毒药水,minecraft:potion,25,装备,todo,todo1
剧毒药水,minecraft:potion,26,装备,todo,todo1
剧毒药水,minecraft:potion,27,装备,todo,todo1
生命恢复药水,minecraft:potion,28,装备,todo,todo1
生命恢复药水,minecraft:potion,29,装备,todo,todo1
生命恢复药水,minecraft:potion,30,装备,todo,todo1
力量药水,minecraft:potion,31,装备,todo,todo1
力量药水,minecraft:potion,32,装备,todo,todo1
力量药水,minecraft:potion,33,装备,todo,todo1
虚弱药水,minecraft:potion,34,装备,todo,todo1
虚弱药水,minecraft:potion,35,装备,todo,todo1
衰变药水,minecraft:potion,36,装备,todo,todo1
神龟药水,minecraft:potion,37,装备,todo,todo1
神龟药水,minecraft:potion,38,装备,todo,todo1
神龟药水,minecraft:potion,39,装备,todo,todo1
缓降药水,minecraft:potion,40,装备,todo,todo1
缓降药水,minecraft:potion,41,装备,todo,todo1
缓慢药水,minecraft:potion,42,装备,todo,todo1
喷溅水瓶,minecraft:splash_potion,0,装备,todo,todo1
喷溅型平凡药水,minecraft:splash_potion,1,装备,todo,todo1
喷溅型长久平凡药水,minecraft:splash_potion,2,装备,todo,todo1
喷溅型浓稠药水,minecraft:splash_potion,3,装备,todo,todo1
喷溅型粗制药水,minecraft:splash_potion,4,装备,todo,todo1
喷溅型夜视药水,minecraft:splash_potion,5,装备,todo,todo1
喷溅型夜视药水,minecraft:splash_potion,6,装备,todo,todo1
喷溅型隐身药水,minecraft:splash_potion,7,装备,todo,todo1
喷溅型隐身药水,minecraft:splash_potion,8,装备,todo,todo1
喷溅型跳跃药水,minecraft:splash_potion,9,装备,todo,todo1
喷溅型跳跃药水,minecraft:splash_potion,10,装备,todo,todo1
喷溅型跳跃药水,minecraft:splash_potion,11,装备,todo,todo1
喷溅型抗火药水,minecraft:splash_potion,12,装备,todo,todo1
喷溅型抗火药水,minecraft:splash_potion,13,装备,todo,todo1
喷溅型迅捷药水,minecraft:splash_potion,14,装备,todo,todo1
喷溅型迅捷药水,minecraft:splash_potion,15,装备,todo,todo1
喷溅型迅捷药水,minecraft:splash_potion,16,装备,todo,todo1
喷溅型缓慢药水,minecraft:splash_potion,17,装备,todo,todo1
喷溅型缓慢药水,minecraft:splash_potion,18,装备,todo,todo1
喷溅型水肺药水,minecraft:splash_potion,19,装备,todo,todo1
喷溅型水肺药水,minecraft:splash_potion,20,装备,todo,todo1
喷溅型治疗药水,minecraft:splash_potion,21,装备,todo,todo1
喷溅型治疗药水,minecraft:splash_potion,22,装备,todo,todo1
喷溅型伤害药水,minecraft:splash_potion,23,装备,todo,todo1
喷溅型伤害药水,minecraft:splash_potion,24,装备,todo,todo1
喷溅型剧毒药水,minecraft:splash_potion,25,装备,todo,todo1
喷溅型剧毒药水,minecraft:splash_potion,26,装备,todo,todo1
喷溅型剧毒药水,minecraft:splash_potion,27,装备,todo,todo1
喷溅型生命恢复药水,minecraft:splash_potion,28,装备,todo,todo1
喷溅型生命恢复药水,minecraft:splash_potion,29,装备,todo,todo1
喷溅型生命恢复药水,minecraft:splash_potion,30,装备,todo,todo1
喷溅型力量药水,minecraft:splash_potion,31,装备,todo,todo1
喷溅型力量药水,minecraft:splash_potion,32,装备,todo,todo1
喷溅型力量药水,minecraft:splash_potion,33,装备,todo,todo1
喷溅型虚弱药水,minecraft:splash_potion,34,装备,todo,todo1
喷溅型虚弱药水,minecraft:splash_potion,35,装备,todo,todo1
喷溅型衰变药水,minecraft:splash_potion,36,装备,todo,todo1
喷溅型神龟药水,minecraft:splash_potion,37,装备,todo,todo1
喷溅型神龟药水,minecraft:splash_potion,38,装备,todo,todo1
喷溅型神龟药水,minecraft:splash_potion,39,装备,todo,todo1
喷溅型缓降药水,minecraft:splash_potion,40,装备,todo,todo1
喷溅型缓降药水,minecraft:splash_potion,41,装备,todo,todo1
喷溅型缓慢药水,minecraft:splash_potion,42,装备,todo,todo1
滯留水瓶,minecraft:lingering_potion,0,装备,todo,todo1
滞留型平凡药水,minecraft:lingering_potion,1,装备,todo,todo1
滞留型长久平凡药水,minecraft:lingering_potion,2,装备,todo,todo1
滞留型浓稠药水,minecraft:lingering_potion,3,装备,todo,todo1
滞留型粗制药水,minecraft:lingering_potion,4,装备,todo,todo1
滞留型夜视药水,minecraft:lingering_potion,5,装备,todo,todo1
滞留型夜视药水,minecraft:lingering_potion,6,装备,todo,todo1
滞留型隐身药水,minecraft:lingering_potion,7,装备,todo,todo1
滞留型隐身药水,minecraft:lingering_potion,8,装备,todo,todo1
滞留型跳跃药水,minecraft:lingering_potion,9,装备,todo,todo1
滞留型跳跃药水,minecraft:lingering_potion,10,装备,todo,todo1
滞留型跳跃药水,minecraft:lingering_potion,11,装备,todo,todo1
滞留型抗火药水,minecraft:lingering_potion,12,装备,todo,todo1
滞留型抗火药水,minecraft:lingering_potion,13,装备,todo,todo1
滞留型迅捷药水,minecraft:lingering_potion,14,装备,todo,todo1
滞留型迅捷药水,minecraft:lingering_potion,15,装备,todo,todo1
滞留型迅捷药水,minecraft:lingering_potion,16,装备,todo,todo1
滞留型缓慢药水,minecraft:lingering_potion,17,装备,todo,todo1
滞留型缓慢药水,minecraft:lingering_potion,18,装备,todo,todo1
滞留型水肺药水,minecraft:lingering_potion,20,装备,todo,todo1
滞留型水肺药水,minecraft:lingering_potion,19,装备,todo,todo1
滞留型治疗药水,minecraft:lingering_potion,21,装备,todo,todo1
滞留型治疗药水,minecraft:lingering_potion,22,装备,todo,todo1
滞留型伤害药水,minecraft:lingering_potion,23,装备,todo,todo1
滞留型伤害药水,minecraft:lingering_potion,24,装备,todo,todo1
滞留型剧毒药水,minecraft:lingering_potion,25,装备,todo,todo1
滞留型剧毒药水,minecraft:lingering_potion,26,装备,todo,todo1
滞留型剧毒药水,minecraft:lingering_potion,27,装备,todo,todo1
滞留型生命恢复药水,minecraft:lingering_potion,28,装备,todo,todo1
滞留型生命恢复药水,minecraft:lingering_potion,29,装备,todo,todo1
滞留型生命恢复药水,minecraft:lingering_potion,30,装备,todo,todo1
滞留型力量药水,minecraft:lingering_potion,31,装备,todo,todo1
滞留型力量药水,minecraft:lingering_potion,32,装备,todo,todo1
滞留型力量药水,minecraft:lingering_potion,33,装备,todo,todo1
滞留型虚弱药水,minecraft:lingering_potion,34,装备,todo,todo1
滞留型虚弱药水,minecraft:lingering_potion,35,装备,todo,todo1
滞留型衰变药水,minecraft:lingering_potion,36,装备,todo,todo1
滞留型神龟药水,minecraft:lingering_potion,37,装备,todo,todo1
滞留型神龟药水,minecraft:lingering_potion,38,装备,todo,todo1
滞留型神龟药水,minecraft:lingering_potion,39,装备,todo,todo1
滞留型缓降药水,minecraft:lingering_potion,40,装备,todo,todo1
滞留型缓降药水,minecraft:lingering_potion,41,装备,todo,todo1
滞留型缓慢药水,minecraft:lingering_potion,42,装备,todo,todo1
望远镜,minecraft:spyglass,0,装备,todo,todo1
